curie	type	label	parent	parent label	role	role label	function types	description	modified date
ID	TYPE	AT rdfs:label^^xsd:string	SC %		SC 'has role' some %		SC 'has function type' some % SPLIT=|	AT dcterms:description^^xsd:string	AT dcterms:modified^^xsd:date
BSEO:0000073	class	AHGBSP3-7	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-7} with 3 polarization shells, with more diffuse functions	2021-02-01
BSEO:0000074	class	AHGBSP3-9	BSEO:0100039	lehtola_hgbs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Hydrogenic Gaussian basis set formed at tolerance 10^{-9} with 3 polarization shells, with more diffuse functions	2020-05-05
BSEO:0000075	class	Ahlrichs pVDZ	BSEO:0100002	ahlrichs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VDZP    Valence Double Zeta + Polarization on All Atoms	2007-01-15
BSEO:0000076	class	Ahlrichs TZV	BSEO:0100002	ahlrichs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VTZ     Valence Triple Zeta: 3 Funct.'s/Valence AO	2007-01-15
BSEO:0000077	class	Ahlrichs VDZ	BSEO:0100002	ahlrichs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VDZ     Valence Double Zeta: 2 Funct.'s/Valence AO	2007-01-15
BSEO:0000078	class	Ahlrichs VTZ	BSEO:0100002	ahlrichs	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VTZ     Valence Triple Zeta: 3 Funct.'s/Valence AO	2007-01-15
BSEO:0000079	class	ANO-DK3	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-10-24
BSEO:0000080	class	ano-pV5Z	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2021-11-17
BSEO:0000081	class	ano-pVDZ	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2021-11-17
BSEO:0000082	class	ano-pVQZ	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2021-11-17
BSEO:0000083	class	ano-pVTZ	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2021-11-17
BSEO:0000084	class	ANO-R	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-12-20
BSEO:0000085	class	ANO-R0	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-12-20
