ID	TYPE	basis set	element	element CURIE	element name
BSEO:0000022	class	6-31+G*	1	CHEBI:49637	hydrogen
BSEO:0000022	class	6-31+G*	2	CHEBI:30217	helium
BSEO:0000022	class	6-31+G*	3	CHEBI:30145	lithium
BSEO:0000022	class	6-31+G*	4	CHEBI:30501	beryllium
BSEO:0000022	class	6-31+G*	5	CHEBI:27560	boron
BSEO:0000022	class	6-31+G*	6	CHEBI:27594	carbon
BSEO:0000022	class	6-31+G*	7	CHEBI:25555	nitrogen
BSEO:0000022	class	6-31+G*	8	CHEBI:25805	oxygen
BSEO:0000022	class	6-31+G*	9	CHEBI:24061	fluorine
BSEO:0000022	class	6-31+G*	10	CHEBI:33310	neon
BSEO:0000022	class	6-31+G*	11	CHEBI:26708	sodium
BSEO:0000022	class	6-31+G*	12	CHEBI:25107	magnesium
BSEO:0000022	class	6-31+G*	13	CHEBI:28984	aluminium
BSEO:0000022	class	6-31+G*	14	CHEBI:27573	silicon
BSEO:0000022	class	6-31+G*	15	CHEBI:28659	phosphorus
BSEO:0000022	class	6-31+G*	16	CHEBI:26833	sulfur
BSEO:0000022	class	6-31+G*	17	CHEBI:23116	chlorine
BSEO:0000022	class	6-31+G*	18	CHEBI:49475	argon
BSEO:0000022	class	6-31+G*	19	CHEBI:26216	potassium
BSEO:0000022	class	6-31+G*	20	CHEBI:22984	calcium
BSEO:0000023	class	6-31+G*-J	1	CHEBI:49637	hydrogen
BSEO:0000023	class	6-31+G*-J	6	CHEBI:27594	carbon
BSEO:0000023	class	6-31+G*-J	7	CHEBI:25555	nitrogen
BSEO:0000023	class	6-31+G*-J	8	CHEBI:25805	oxygen
BSEO:0000024	class	6-31+G**	1	CHEBI:49637	hydrogen
BSEO:0000024	class	6-31+G**	2	CHEBI:30217	helium
BSEO:0000024	class	6-31+G**	3	CHEBI:30145	lithium
BSEO:0000024	class	6-31+G**	4	CHEBI:30501	beryllium
BSEO:0000024	class	6-31+G**	5	CHEBI:27560	boron
BSEO:0000024	class	6-31+G**	6	CHEBI:27594	carbon
BSEO:0000024	class	6-31+G**	7	CHEBI:25555	nitrogen
BSEO:0000024	class	6-31+G**	8	CHEBI:25805	oxygen
BSEO:0000024	class	6-31+G**	9	CHEBI:24061	fluorine
BSEO:0000024	class	6-31+G**	10	CHEBI:33310	neon
BSEO:0000024	class	6-31+G**	11	CHEBI:26708	sodium
BSEO:0000024	class	6-31+G**	12	CHEBI:25107	magnesium
BSEO:0000024	class	6-31+G**	13	CHEBI:28984	aluminium
BSEO:0000024	class	6-31+G**	14	CHEBI:27573	silicon
BSEO:0000024	class	6-31+G**	15	CHEBI:28659	phosphorus
BSEO:0000024	class	6-31+G**	16	CHEBI:26833	sulfur
BSEO:0000024	class	6-31+G**	17	CHEBI:23116	chlorine
BSEO:0000024	class	6-31+G**	18	CHEBI:49475	argon
BSEO:0000024	class	6-31+G**	19	CHEBI:26216	potassium
BSEO:0000024	class	6-31+G**	20	CHEBI:22984	calcium
BSEO:0000025	class	6-311++G	1	CHEBI:49637	hydrogen
BSEO:0000025	class	6-311++G	3	CHEBI:30145	lithium
BSEO:0000025	class	6-311++G	4	CHEBI:30501	beryllium
BSEO:0000025	class	6-311++G	5	CHEBI:27560	boron
BSEO:0000025	class	6-311++G	6	CHEBI:27594	carbon
BSEO:0000025	class	6-311++G	7	CHEBI:25555	nitrogen
BSEO:0000025	class	6-311++G	8	CHEBI:25805	oxygen
BSEO:0000025	class	6-311++G	9	CHEBI:24061	fluorine
BSEO:0000025	class	6-311++G	10	CHEBI:33310	neon
BSEO:0000025	class	6-311++G	11	CHEBI:26708	sodium
BSEO:0000025	class	6-311++G	12	CHEBI:25107	magnesium
BSEO:0000025	class	6-311++G	13	CHEBI:28984	aluminium
BSEO:0000025	class	6-311++G	14	CHEBI:27573	silicon
BSEO:0000025	class	6-311++G	15	CHEBI:28659	phosphorus
BSEO:0000025	class	6-311++G	16	CHEBI:26833	sulfur
BSEO:0000025	class	6-311++G	17	CHEBI:23116	chlorine
BSEO:0000025	class	6-311++G	18	CHEBI:49475	argon
BSEO:0000025	class	6-311++G	19	CHEBI:26216	potassium
