basis set	element	element CURIE	element name
6-31++G*	11	CHEBI:26708	sodium
6-31++G*	12	CHEBI:25107	magnesium
6-31++G*	13	CHEBI:28984	aluminium
6-31++G*	14	CHEBI:27573	silicon
6-31++G*	15	CHEBI:28659	phosphorus
6-31++G*	16	CHEBI:26833	sulfur
6-31++G*	17	CHEBI:23116	chlorine
6-31++G*	18	CHEBI:49475	argon
6-31++G*	19	CHEBI:26216	potassium
6-31++G*	20	CHEBI:22984	calcium
6-31++G*	1	CHEBI:49637	hydrogen
6-31++G*	2	CHEBI:30217	helium
6-31++G*	3	CHEBI:30145	lithium
6-31++G*	4	CHEBI:30501	beryllium
6-31++G*	5	CHEBI:27560	boron
6-31++G*	6	CHEBI:27594	carbon
6-31++G*	7	CHEBI:25555	nitrogen
6-31++G*	8	CHEBI:25805	oxygen
6-31++G*	9	CHEBI:24061	fluorine
6-31++G*	10	CHEBI:33310	neon
6-31++G*	11	CHEBI:26708	sodium
6-31++G*	12	CHEBI:25107	magnesium
6-31++G*	13	CHEBI:28984	aluminium
6-31++G*	14	CHEBI:27573	silicon
6-31++G*	15	CHEBI:28659	phosphorus
6-31++G*	16	CHEBI:26833	sulfur
6-31++G*	17	CHEBI:23116	chlorine
6-31++G*	18	CHEBI:49475	argon
6-31++G**	1	CHEBI:49637	hydrogen
6-31++G**	3	CHEBI:30145	lithium
6-31++G**	4	CHEBI:30501	beryllium
6-31++G**	5	CHEBI:27560	boron
6-31++G**	6	CHEBI:27594	carbon
6-31++G**	7	CHEBI:25555	nitrogen
6-31++G**	8	CHEBI:25805	oxygen
6-31++G**	9	CHEBI:24061	fluorine
6-31++G**	10	CHEBI:33310	neon
6-31++G**	11	CHEBI:26708	sodium
6-31++G**	12	CHEBI:25107	magnesium
6-31++G**	13	CHEBI:28984	aluminium
6-31++G**	14	CHEBI:27573	silicon
6-31++G**	15	CHEBI:28659	phosphorus
6-31++G**	16	CHEBI:26833	sulfur
6-31++G**	17	CHEBI:23116	chlorine
6-31++G**	18	CHEBI:49475	argon
6-31++G**	19	CHEBI:26216	potassium
6-31++G**	20	CHEBI:22984	calcium
6-31++G**	1	CHEBI:49637	hydrogen
6-31++G**	2	CHEBI:30217	helium
6-31++G**	3	CHEBI:30145	lithium
6-31++G**	4	CHEBI:30501	beryllium
6-31++G**	5	CHEBI:27560	boron
6-31++G**	6	CHEBI:27594	carbon
6-31++G**	7	CHEBI:25555	nitrogen
6-31++G**	8	CHEBI:25805	oxygen
6-31++G**	9	CHEBI:24061	fluorine
6-31++G**	10	CHEBI:33310	neon
6-31++G**	11	CHEBI:26708	sodium
6-31++G**	12	CHEBI:25107	magnesium
6-31++G**	13	CHEBI:28984	aluminium
6-31++G**	14	CHEBI:27573	silicon
6-31++G**	15	CHEBI:28659	phosphorus
6-31++G**	16	CHEBI:26833	sulfur
6-31++G**	17	CHEBI:23116	chlorine
6-31++G**	18	CHEBI:49475	argon
6-31++G**-J	1	CHEBI:49637	hydrogen
