basis set ID	basis set name	atomic number	atom reference	atom name	electron shell position	electron shell region	angular momentum	function type
BSEO:0000126	6-31G	21	CHEBI:33330	scandium	2	valence	0,1	gto
BSEO:0000126	6-31G	21	CHEBI:33330	scandium	3	valence	0,1	gto
BSEO:0000126	6-31G	21	CHEBI:33330	scandium	4	valence	0,1	gto
BSEO:0000126	6-31G	21	CHEBI:33330	scandium	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	21	CHEBI:33330	scandium	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	22	CHEBI:33341	titanium	0	valence	0	gto
BSEO:0000126	6-31G	22	CHEBI:33341	titanium	1	valence	0,1	gto
BSEO:0000126	6-31G	22	CHEBI:33341	titanium	2	valence	0,1	gto
BSEO:0000126	6-31G	22	CHEBI:33341	titanium	3	valence	0,1	gto
BSEO:0000126	6-31G	22	CHEBI:33341	titanium	4	valence	0,1	gto
BSEO:0000126	6-31G	22	CHEBI:33341	titanium	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	22	CHEBI:33341	titanium	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	23	CHEBI:27698	vanadium	0	valence	0	gto
BSEO:0000126	6-31G	23	CHEBI:27698	vanadium	1	valence	0,1	gto
BSEO:0000126	6-31G	23	CHEBI:27698	vanadium	2	valence	0,1	gto
BSEO:0000126	6-31G	23	CHEBI:27698	vanadium	3	valence	0,1	gto
BSEO:0000126	6-31G	23	CHEBI:27698	vanadium	4	valence	0,1	gto
BSEO:0000126	6-31G	23	CHEBI:27698	vanadium	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	23	CHEBI:27698	vanadium	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	24	CHEBI:28073	chromium	0	valence	0	gto
BSEO:0000126	6-31G	24	CHEBI:28073	chromium	1	valence	0,1	gto
BSEO:0000126	6-31G	24	CHEBI:28073	chromium	2	valence	0,1	gto
BSEO:0000126	6-31G	24	CHEBI:28073	chromium	3	valence	0,1	gto
BSEO:0000126	6-31G	24	CHEBI:28073	chromium	4	valence	0,1	gto
BSEO:0000126	6-31G	24	CHEBI:28073	chromium	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	24	CHEBI:28073	chromium	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	25	CHEBI:18291	manganese	0	valence	0	gto
BSEO:0000126	6-31G	25	CHEBI:18291	manganese	1	valence	0,1	gto
BSEO:0000126	6-31G	25	CHEBI:18291	manganese	2	valence	0,1	gto
BSEO:0000126	6-31G	25	CHEBI:18291	manganese	3	valence	0,1	gto
BSEO:0000126	6-31G	25	CHEBI:18291	manganese	4	valence	0,1	gto
BSEO:0000126	6-31G	25	CHEBI:18291	manganese	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	25	CHEBI:18291	manganese	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	26	CHEBI:18248	iron	0	valence	0	gto
BSEO:0000126	6-31G	26	CHEBI:18248	iron	1	valence	0,1	gto
BSEO:0000126	6-31G	26	CHEBI:18248	iron	2	valence	0,1	gto
BSEO:0000126	6-31G	26	CHEBI:18248	iron	3	valence	0,1	gto
BSEO:0000126	6-31G	26	CHEBI:18248	iron	4	valence	0,1	gto
BSEO:0000126	6-31G	26	CHEBI:18248	iron	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	26	CHEBI:18248	iron	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	27	CHEBI:27638	cobalt	0	valence	0	gto
BSEO:0000126	6-31G	27	CHEBI:27638	cobalt	1	valence	0,1	gto
BSEO:0000126	6-31G	27	CHEBI:27638	cobalt	2	valence	0,1	gto
BSEO:0000126	6-31G	27	CHEBI:27638	cobalt	3	valence	0,1	gto
BSEO:0000126	6-31G	27	CHEBI:27638	cobalt	4	valence	0,1	gto
BSEO:0000126	6-31G	27	CHEBI:27638	cobalt	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	27	CHEBI:27638	cobalt	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	28	CHEBI:28112	nickel	0	valence	0	gto
BSEO:0000126	6-31G	28	CHEBI:28112	nickel	1	valence	0,1	gto
BSEO:0000126	6-31G	28	CHEBI:28112	nickel	2	valence	0,1	gto
BSEO:0000126	6-31G	28	CHEBI:28112	nickel	3	valence	0,1	gto
BSEO:0000126	6-31G	28	CHEBI:28112	nickel	4	valence	0,1	gto
BSEO:0000126	6-31G	28	CHEBI:28112	nickel	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	28	CHEBI:28112	nickel	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	29	CHEBI:28694	copper	0	valence	0	gto
BSEO:0000126	6-31G	29	CHEBI:28694	copper	1	valence	0,1	gto
BSEO:0000126	6-31G	29	CHEBI:28694	copper	2	valence	0,1	gto
BSEO:0000126	6-31G	29	CHEBI:28694	copper	3	valence	0,1	gto
BSEO:0000126	6-31G	29	CHEBI:28694	copper	4	valence	0,1	gto
BSEO:0000126	6-31G	29	CHEBI:28694	copper	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	29	CHEBI:28694	copper	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	30	CHEBI:27363	zinc	0	valence	0	gto
BSEO:0000126	6-31G	30	CHEBI:27363	zinc	1	valence	0,1	gto
BSEO:0000126	6-31G	30	CHEBI:27363	zinc	2	valence	0,1	gto
BSEO:0000126	6-31G	30	CHEBI:27363	zinc	3	valence	0,1	gto
