curie	type	label
BSEO:0000436	class	dgauss-a1-dftjfit
BSEO:0000437	class	dgauss-a1-dftxfit
BSEO:0000438	class	dgauss-a2-dftjfit
BSEO:0000439	class	dgauss-a2-dftxfit
BSEO:0000440	class	dgauss-dzvp
BSEO:0000441	class	dgauss-dzvp2
BSEO:0000442	class	dgauss-tzvp
BSEO:0000443	class	dhf-ECP
BSEO:0000444	class	dhf-QZVP
BSEO:0000445	class	dhf-QZVPP
BSEO:0000446	class	dhf-SV(P)
BSEO:0000447	class	dhf-SVP
BSEO:0000448	class	dhf-TZVP
BSEO:0000449	class	dhf-TZVPP
BSEO:0000450	class	dyall-aae2z
BSEO:0000451	class	dyall-aae3z
BSEO:0000452	class	dyall-aae4z
BSEO:0000453	class	dyall-aae5z
BSEO:0000454	class	dyall-acv2z
BSEO:0000455	class	dyall-acv3z
BSEO:0000456	class	dyall-acv4z
BSEO:0000457	class	dyall-acv5z
BSEO:0000458	class	dyall-ae2z
BSEO:0000459	class	dyall-ae3z
BSEO:0000460	class	dyall-ae4z
BSEO:0000461	class	dyall-ae5z
BSEO:0000462	class	dyall-av2z
BSEO:0000463	class	dyall-av3z
BSEO:0000464	class	dyall-av4z
BSEO:0000465	class	dyall-av5z
BSEO:0000466	class	dyall-cv2z
BSEO:0000467	class	dyall-cv3z
BSEO:0000468	class	dyall-cv4z
BSEO:0000469	class	dyall-cv5z
BSEO:0000470	class	dyall-v2z
BSEO:0000471	class	dyall-v3z
BSEO:0000472	class	dyall-v4z
BSEO:0000473	class	dyall-v5z
BSEO:0000474	class	DZ (Dunning-Hay)
BSEO:0000475	class	DZ + Double Rydberg (Dunning-Hay)
BSEO:0000476	class	DZ + Rydberg (Dunning-Hay)
BSEO:0000477	class	DZP (Dunning-Hay)
BSEO:0000478	class	DZP + Diffuse (Dunning-Hay)
BSEO:0000479	class	DZP + Rydberg (Dunning-Hay)
BSEO:0000480	class	epc-10s10p10d10f
BSEO:0000481	class	epc-8s8p8d
BSEO:0000482	class	FANO-5Z
BSEO:0000483	class	FANO-6Z
BSEO:0000484	class	FANO-DZ
BSEO:0000485	class	FANO-QZ
BSEO:0000486	class	FANO-TZ
BSEO:0000487	class	Grimme vDZP
BSEO:0000488	class	HGBS-5
BSEO:0000489	class	HGBS-7
BSEO:0000490	class	HGBS-9
BSEO:0000491	class	HGBSP1-5
BSEO:0000492	class	HGBSP1-7
BSEO:0000493	class	HGBSP1-9
BSEO:0000494	class	HGBSP2-5
BSEO:0000495	class	HGBSP2-7
BSEO:0000496	class	HGBSP2-9
BSEO:0000497	class	HGBSP3-5
BSEO:0000498	class	HGBSP3-7
BSEO:0000499	class	HGBSP3-9
BSEO:0000500	class	IGLO-II
BSEO:0000501	class	IGLO-III
BSEO:0000502	class	jgauss-dzp
BSEO:0000503	class	jgauss-qz2p
BSEO:0000504	class	jgauss-qzp
BSEO:0000505	class	jgauss-tzp1
BSEO:0000506	class	jgauss-tzp2
BSEO:0000507	class	jorge-5ZP
BSEO:0000508	class	jorge-5ZP-DKH
BSEO:0000509	class	jorge-5ZP-ZORA
BSEO:0000510	class	jorge-6ZP
BSEO:0000511	class	jorge-6ZP-DKH
BSEO:0000512	class	jorge-6ZP-ZORA
BSEO:0000513	class	jorge-A5ZP
BSEO:0000514	class	jorge-A6ZP
BSEO:0000515	class	jorge-ADZP
BSEO:0000516	class	jorge-AQZP
BSEO:0000517	class	jorge-ATZP
BSEO:0000518	class	jorge-ATZP-ZORA
BSEO:0000519	class	jorge-DZP
BSEO:0000520	class	jorge-DZP-DKH
BSEO:0000521	class	jorge-DZP-ZORA
BSEO:0000522	class	jorge-QZP
BSEO:0000523	class	jorge-QZP-DKH
BSEO:0000524	class	jorge-QZP-ZORA
BSEO:0000525	class	jorge-TZP
BSEO:0000526	class	jorge-TZP-DKH
BSEO:0000527	class	jorge-TZP-ZORA
BSEO:0000528	class	jul-cc-pV(D+d)Z
BSEO:0000529	class	jul-cc-pV(Q+d)Z
BSEO:0000530	class	jul-cc-pV(T+d)Z
BSEO:0000531	class	jun-cc-pV(D+d)Z
BSEO:0000532	class	jun-cc-pV(Q+d)Z
BSEO:0000533	class	jun-cc-pV(T+d)Z
BSEO:0000534	class	Koga unpolarized
BSEO:0000535	class	LANL08
BSEO:0000536	class	LANL08(d)
BSEO:0000537	class	LANL08(f)
BSEO:0000538	class	LANL08+
BSEO:0000539	class	LANL2DZ
BSEO:0000540	class	LANL2DZ ECP
BSEO:0000541	class	LANL2DZdp
BSEO:0000542	class	LANL2TZ
BSEO:0000543	class	LANL2TZ(f)
BSEO:0000544	class	LANL2TZ+
BSEO:0000545	class	lcecp-0-QZVP
BSEO:0000546	class	lcecp-0-QZVPP
BSEO:0000547	class	lcecp-0-SV(P)
BSEO:0000548	class	lcecp-0-SVP
BSEO:0000549	class	lcecp-0-TZVP
BSEO:0000550	class	lcecp-0-TZVPP
BSEO:0000551	class	lcecp-1-QZVP
BSEO:0000552	class	lcecp-1-QZVPP
BSEO:0000553	class	lcecp-1-SV(P)
BSEO:0000554	class	lcecp-1-SVP
BSEO:0000555	class	lcecp-1-TZVP
BSEO:0000556	class	lcecp-1-TZVPP
BSEO:0000557	class	lcecp-2-QZVP
BSEO:0000558	class	lcecp-2-QZVPP
BSEO:0000559	class	lcecp-2-SV(P)
BSEO:0000560	class	lcecp-2-SVP
BSEO:0000561	class	lcecp-2-TZVP
BSEO:0000562	class	lcecp-2-TZVPP
BSEO:0000563	class	m6-31G
BSEO:0000564	class	m6-31G*
BSEO:0000565	class	maug-cc-pV(D+d)Z
BSEO:0000566	class	maug-cc-pV(Q+d)Z
BSEO:0000567	class	maug-cc-pV(T+d)Z
BSEO:0000568	class	may-cc-pV(Q+d)Z
BSEO:0000569	class	may-cc-pV(T+d)Z
BSEO:0000570	class	MIDI
BSEO:0000571	class	MIDI!
BSEO:0000572	class	MIDIX
BSEO:0000573	class	MINI
BSEO:0000574	class	modified-LANL2DZ
BSEO:0000575	class	NASA Ames ANO
BSEO:0000576	class	NASA Ames ANO2
BSEO:0000577	class	NASA Ames cc-pCV5Z
BSEO:0000578	class	NASA Ames cc-pCVQZ
BSEO:0000579	class	NASA Ames cc-pCVTZ
BSEO:0000580	class	NASA Ames cc-pV5Z
BSEO:0000581	class	NASA Ames cc-pVQZ
BSEO:0000582	class	NASA Ames cc-pVTZ
BSEO:0000583	class	NLO-V
BSEO:0000584	class	NMR-DKH (TZ2P)
BSEO:0000585	class	ORP
BSEO:0000586	class	Partridge Uncontracted 1
BSEO:0000587	class	Partridge Uncontracted 2
BSEO:0000588	class	Partridge Uncontracted 3
BSEO:0000589	class	Partridge Uncontracted 4
BSEO:0000590	class	PAW-L05
BSEO:0000591	class	PAW-L1
BSEO:0000592	class	PAW-L1-contracted
BSEO:0000593	class	PAW-L2
BSEO:0000594	class	PAW-L2-contracted
BSEO:0000595	class	PB4-D
BSEO:0000596	class	PB4-F1
BSEO:0000597	class	PB4-F2
BSEO:0000598	class	PB5-D
BSEO:0000599	class	PB5-F
BSEO:0000600	class	PB5-G
BSEO:0000601	class	PB6-D
BSEO:0000602	class	PB6-F
BSEO:0000603	class	PB6-G
BSEO:0000604	class	PB6-H
